Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
AquaNu3 Tilapia 2504 Finalizador 4.5 mm,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de res y/o pollo, granos y subproductos, pastas de oleaginosas, antioxidantes (BHT y BHA), derivados de una levadura prima inactivada (Saccharomyces cerevisiae)  0.30 Kg/ton, aceite de pescado, Minerales: Calcio, Fósforo, Hierro, Zinc, Yodo, Selenio, Cobalto y Magnesio. Vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido Fólico y biotina. ",Proteína cruda ………25.00 % mín Grasa cruda …...……..4.00 % min            Fibra cruda ...…………8.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….10.00 % máx       E.L.N…………………43.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de finalizador ,"50 gr de alimento por tilapia al día, se sugiere alimentar 3 veces al día, el último mes 2 eces al día.",No aplica,A-120/2014-005,Alimento ,19-nov-14,19-nov-19
Tilapia XT 3505 Crecimiento 3.5 mm,"Multiservicios 2001, S.A. de C.V.","Pasta de oleaginosas, harina de carne de res, granos y subproductos antioxidantes, aceite de pescado, minerales: calcio, fósforo, hierro, zinc, yodo, selenio, cobalto y magnesio, vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido fólico y biotina.",Proteína cruda ………35.00 % mín Grasa cruda …...……..5.00 % min            Fibra cruda ...…………9.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….12.00 % máx       E.L.N…………………29.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de crecimiento,"50 gr de alimento por tilapia al día, se sugiere alimentar 4 veces al día.",No aplica,A-120/2014-006,Alimento ,19-nov-14,19-nov-19
Tilapia XT 3205 Desarrollo 3.5 mm,"Multiservicios 2001, S.A. de C.V.","Pasta de oleaginosas, harina de carne de res, granos y subproductos antioxidantes, aceite de pescado, minerales: calcio, fósforo, hierro, zinc, yodo, selenio, cobalto y magnesio, vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido fólico y biotina.",Proteína cruda ………32.00 % mín Grasa cruda …...……..5.00 % min            Fibra cruda ...…………9.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….12.00 % máx       E.L.N…………………32.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de desarrollo ,"50 gr de alimento por tilapia al día, se sugiere alimentar 4 veces al día.",No aplica,A-120/2014-007,Alimento ,19-nov-14,19-nov-19
Tilapia XT 3005 Engroda 3.5 mm,"Multiservicios 2001, S.A. de C.V.","Harina de carne de res, granos y subproductos, pastas  de oleaginosas, harina de pescado, antioxidantes, aceite de pescado y/o soya,  minerales: calcio, fósforo, hierro, zinc, yodo, selenio, cobalto y magnesio, vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido fólico y biotina.",Proteína cruda ………30.00 % mín Grasa cruda …...……..5.00 % min            Fibra cruda ...…………9.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….12.00 % máx       E.L.N…………………34.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de engorda,"50 gr de alimento por tilapia al día, se sugiere alimentar 3 veces al día.",No aplica,A-120/2014-008,Alimento ,19-nov-14,19-nov-19
Tilapia XT 2504 Finalizador 4.5 mm,"Multiservicios 2001, S.A. de C.V.","Pasta de oleaginosas, harina de carne de res, granos y subproductos antioxidantes, cultivo de levadura (Saccharomyces cerevisiae) 1.5x1010 UFC/gr, aceite de pescado y/o soya, minerales: calcio, fósforo, hierro, zinc, yodo, selenio, cobalto y magnesio, vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido fólico y biotina.",Proteína cruda ………25.00 % mín Grasa cruda …...……..4.00 % min            Fibra cruda ...…………9.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….12.00 % máx       E.L.N…………………40.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de engorda,"50 gr de alimento por tilapia al día, se sugiere alimentar 3 veces al día y el último mes 2 veces al día. ",No aplica,A-120/2014-009,Alimento ,19-nov-14,19-nov-19
AquaNu3 TILAPIA MIGAJA 45-10,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de pollo, pastas de oleoginosas (soya o canola o girasol o cártamo), trigo, subproductos de cereales, aceite de pescado (preservado con BHA y BHT), sabor natural, lisina y metionina, aluminosilicatos de calcio y sodio, cloruro de colina, propionato de calcio o sodio. Vitaminas: suplemento de vitamina A, Tiamina Mononitrato (Vitamina B1), Riboflavina (Vitamina B2), Nicotinamina (B3), Clorhidrato de Piridoxina (Vitamina B6), Biotina (B7), Ácido Fólico (Vitamina B9), Cobalamina (Vitamina B12), suplemento de vitaminas D y E, suplemento de vitamina K3; Minerales: Carbonato de Cobalto, sulfato de cobre, sulfato ferroso, sulfato de zinc, sulfato de manganeso, selenito de sodio, carbonato de calcio.","Proteína ………………………………………..45% min.
Grasa…………………………………………10.00% min.
Fibra……………………………………………5.00% máx.
Humedad…………………………………12.00%  máx.
Cenizas…………………………………….10.00% máx.
E.L.N……………………………………..18.00%",Alimento balanceado para tilapias de 1 g a 3 g de peso corporal. En cultivos semi-intensivos e intensivos.,"La ración es de acuerdo a las tablas de alimentación la cual se sujetará dependiendo de la demanda del comportamiento de los organismos y de otros factores como genética, % de machos y hembras, parámetros fisicoquímicos, enfermedades, etc.",No aplica,A-120/2017-002,Alimento,03-abr-17,03-abr-22
TOP FISH 45    ,"CANIS FOOD NUTRITION, S. DE R.L. DE C.V. ","Pasta de soya, trigo, harina de aves (menudencia), sorgo, maíz, granos secos de destilados, salvado de trigo, gluten de maíz, harina de pescado, harina de sangre de ganado bovino, aceite de pescado, lecitina de soya, fungicida, antioxidante, vitamina A-acetato, vitamina D3, vitamina E-acetato, vitamina K3, (MNB), mononitrato de tiamina (B1), riboflavina, clorhidrato de piroxidina (B6), vitamina B12, biotina (H), ácido fólico, niacina, D-pantotenato de calcio, vitamina C mono fosfato, Compuestos inorganicos: magnesio, zinc, hierro, cobre, yodo, selenio. Compuestos orgánicos: zinc, magnesio, selenio, cobalto, inositol, betaina, DL-metionina y excipiente organico e inorgánico.",proteina bruta (min)……..…45.0% estracto etéreo (min)……….9.0% Fibra cruda (max)……………5.0% Humedad (max)…………….12.0% Cenizas (max)………………11.0%,Alimento balanceado para (Oreochromis niloticus) fase de iniciación. tilapia,De pesos de 0.5g- 50g que corresponden a 0-50 días de cultivo. De 0.10 a 1.8g diarios (dependiendo talla y peso de acuerdo a la etiqueta.,No aplica ,A-137/2016-001,Alimento ,14-abr-16,14-abr-21
TOP FISH 40 ,"CANIS FOOD NUTRITION, S. DE R.L. DE C.V.","Pasta de soya, trigo, harina de aves (menudencia), sorgo, maíz, granos secos de destilados, salvado de trigo, gluten de maíz, harina de pescado, harina de sangre de ganado bovino, aceite de pescado, lecitina de soya, fungicida, antioxidante, vitamina A-acetato, vitamina D3, vitamina E-acetato, vitamina K3, (MNB), mononitrato de tiamina (B1), riboflavina, clorhidrato de piroxidina (B6), vitamina B12, biotina (H), ácido fólico, niacina, D-pantotenato de calcio, vitamina C mono fosfato, Compuestos inorganicos: magnesio, zinc, hierro, cobre, yodo, selenio. Compuestos orgánicos: zinc, magnesio, selenio, cobalto, inositol, betaina, DL-metionina y excipiente organico e inorgánico.",proteina bruta (min)……..…40.0% estracto etéreo (min)……….8.0% Fibra cruda (max)……………5.0% Humedad (max)…………….12.0% Cenizas (max)………………11.0%,Alimento balanceado para (Oreochromis niloticus) fase de crecimiento. Tilapia,,No aplica ,A-137/2016-002,Alimento ,14-abr-16,14-abr-21
TOP FISH 43,"CANIS FOOD NUTRITION, S. DE R.L. DE C.V.","Pasta de soya, trigo, harina de aves (menudencia), sorgo, maíz, granos secos de destilados, salvado de trigo, gluten de maíz, harina de pescado, harina de sangre de ganado bovino, aceite de pescado, lecitina de soya, fungicida, antioxidante, vitamina A-acetato, vitamina D3, vitamina E-acetato, vitamina K3, (MNB), mononitrato de tiamina (B1), riboflavina, clorhidrato de piroxidina (B6), vitamina B12, biotina (H), ácido fólico, niacina, D-pantotenato de calcio, vitamina C mono fosfato, Compuestos inorganicos: magnesio, zinc, hierro, cobre, yodo, selenio. Compuestos orgánicos: zinc, magnesio, selenio, cobalto, inositol, betaina, DL-metionina y excipiente organico e inorgánico.",proteina bruta (min)……..…43.0% estracto etéreo (min)……….9.0% Fibra cruda (max)……………5.0% Humedad (max)…………….12.0% Cenizas (max)………………11.0%,Alimento balanceado para (Oreochromis niloticus) inicial. Tilapia,,No aplica ,A-137/2016-003,Alimento ,14-abr-16,14-abr-21
TOP FISH 37,"CANIS FOOD NUTRITION, S. DE R.L. DE C.V.","Pasta de soya, trigo, harina de aves (menudencia), sorgo, maíz, granos secos de destilados, salvado de trigo, gluten de maíz, harina de pescado, harina de sangre de ganado bovino, aceite de pescado, lecitina de soya, fungicida, antioxidante, vitamina A-acetato, vitamina D3, vitamina E-acetato, vitamina K3, (MNB), mononitrato de tiamina (B1), riboflavina, clorhidrato de piroxidina (B6), vitamina B12, biotina (H), ácido fólico, niacina, D-pantotenato de calcio, vitamina C mono fosfato, Compuestos inorganicos: magnesio, zinc, hierro, cobre, yodo, selenio. Compuestos orgánicos: zinc, magnesio, selenio, cobalto, inositol, betaina, DL-metionina y excipiente organico e inorgánico.",proteina bruta (min)……..…37.0% estracto etéreo (min)……….7.0% Fibra cruda (max)……………5.0% Humedad (max)…………….12.0% Cenizas (max)………………11.0%,Alimento balanceado para (Oreochromis niloticus) fase de desarrollo. Tilapia,,No aplica ,A-137/2016-004,Alimento ,14-abr-16,14-abr-21
TOP FISH 35,"CANIS FOOD NUTRITION, S. DE R.L. DE C.V.","Pasta de soya, trigo, harina de aves (menudencia), sorgo, maíz, granos secos de destilados, salvado de trigo, gluten de maíz, harina de pescado, harina de sangre de ganado bovino, aceite de pescado, lecitina de soya, fungicida, antioxidante, vitamina A-acetato, vitamina D3, vitamina E-acetato, vitamina K3, (MNB), mononitrato de tiamina (B1), riboflavina, clorhidrato de piroxidina (B6), vitamina B12, biotina (H), ácido fólico, niacina, D-pantotenato de calcio, vitamina C mono fosfato, Compuestos inorganicos: magnesio, zinc, hierro, cobre, yodo, selenio. Compuestos orgánicos: zinc, magnesio, selenio, cobalto, inositol, betaina, DL-metionina y excipiente organico e inorgánico.",proteina bruta (min)……..…35.0% estracto etéreo (min)……….6.0% Fibra cruda (max)……………5.0% Humedad (max)…………….12.0% Cenizas (max)………………11.0%,Alimento balanceado para (Oreochromis niloticus) fase de desarrollo. Tilapia,,No aplica ,A-137/2016-005,Alimento ,14-abr-16,14-abr-21
TOP FISH 32,"CANIS FOOD NUTRITION, S. DE R.L. DE C.V.","Pasta de soya, trigo, harina de aves (menudencia), sorgo, maíz, granos secos de destilados, salvado de trigo, gluten de maíz, harina de pescado, harina de sangre de ganado bovino, aceite de pescado, lecitina de soya, fungicida, antioxidante, vitamina A-acetato, vitamina D3, vitamina E-acetato, vitamina K3, (MNB), mononitrato de tiamina (B1), riboflavina, clorhidrato de piroxidina (B6), vitamina B12, biotina (H), ácido fólico, niacina, D-pantotenato de calcio, vitamina C mono fosfato, Compuestos inorganicos: magnesio, zinc, hierro, cobre, yodo, selenio. Compuestos orgánicos: zinc, magnesio, selenio, cobalto, inositol, betaina, DL-metionina y excipiente organico e inorgánico.",proteina bruta (min)……..…32.0% estracto etéreo (min)……….5.0% Fibra cruda (max)……………5.0% Humedad (max)…………….12.0% Cenizas (max)………………11.0%,Alimento balanceado para (Oreochromis niloticus) fase de engorda. Tilapia,,No aplica ,A-137/2016-006,Alimento ,14-abr-16,14-abr-21
GROWFISH TILAPIA 1 (ALEVIN) 40% DE PROTEINA ,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carotenos naturales y artificiales, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …40.00%. Grasa mín…5.50%. Fibra máx…5.00% Humedad máx ……12.00% Cenizas máx… 10.50% E.LN. ….27.0%,Alimento balanceado formulado para cubir los requerimiento de las tilapias durante la etapa de alevín de 0 a 50g de peso,"Administrar como base un 6% de la biomasa/dosis/día, en la etapa de Alevín de 0 a 50g de peso",No aplica,A-136/2016-017,Alimento,20-dic-16,20-dic-21
GROWFISH TILAPIA 4 A.S.,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …25.00%. Grasa mín…5.00%. Fibra máx…6.00% Humedad máx ……12.00% Cenizas máx… 10.00% E.LN. ….42..00%,"Alimento balanceado, formulado para cubrir los requerimientos de las tilapias durante la etapa de finalización. De 100 g de peso hasta alcanzar peso y talla de mercado","Administrar a tilapias de 100g de peso en adelante a razon de 1%  a 2% de biomasa, 2 dosis por dia",No aplica,A-136/2016-018,Alimento,20-dic-16,20-dic-21
GROWFISH TILAPIA 2 (INICIACION) 35% DE PROTEINA ,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carotenos naturales y artificiales, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …35.00%. Grasa mín…5.50%. Fibra máx…5.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….34.50%,Alimento balanceado formulado para cubrir los requerimientos de las tilapias durante  la etapa de iniciación,"administrar el 6% de la biomasa a peces de los 50 a los 70 g de peso, 4 dosis por día.",No aplica,A-136/2016-019,Alimento,20-dic-16,20-dic-21
GROWFISH TILAPIA REGAL ENGORDA 32%,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …32.00%. Grasa mín…5.5%. Fibra máx…5.0% Humedad máx ……12.00% Cenizas máx… 9.0% E.LN. ….36.5%,Alimento balanceado formulado para cubrir los requerimientos de las tilapias durante  la etapa de engorda de 70 a 100 g de peso.,"Administrar a peces: Mojarra tilapia de 70 a 100 g de peso, a razón de 4% al 5% de biomasa 3 veces al día.",No aplica,A-136/2016-025,Alimento,20-dic-16,20-dic-21
Growfish tilapia 2 iniciacion 35% de proteina,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino, ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico","Proteína cruda mín………………35.5% 
Grasa cruda mÍn.…….……………5.50%          
Fibra cruda máx………………......5.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..8.00%   
ENL………………….……….....34.5.00%",Alimento balanceado para peces. Tilapia,Tilapia (Oreochromis niloticus),No aplica,A-136/2017-005,Alimento,15-nov-17,15-nov-22
